slug;titulo;preco;preco_parcelado;link_hotmart;status;nome_na_hotmart;cursos_do_combo;descricao;observacao
gregos-fundamento-do-ocidente;Gregos: o Fundamento do Ocidente;;;;ativo;;;;Sem produto avulso na Hotmart: vendido no combo Um Passeio pela História e no Acesso Completo.
historia-das-mentalidades;História das Mentalidades;299,60;à vista ou parcelado no cartão;https://pay.hotmart.com/H76927201S;ativo;;;;
imperio-bizantino;Império Bizantino;;;;ativo;;;;Sem produto avulso na Hotmart: vendido no combo Um Passeio pela História e no Acesso Completo.
inicio-seculo-xx-guerra-e-revolucao;Início do Século XX: Guerra e Revolução;;;;ativo;;;;Sem produto avulso na Hotmart: vendido no combo Um Passeio pela História e no Acesso Completo.
mercantilismo;Mercantilismo;;;;ativo;;;;Sem produto avulso na Hotmart: vendido no combo Um Passeio pela História e no Acesso Completo.
o-grande-seculo-xix;O Grande Século XIX;;;;ativo;;;;Sem produto avulso na Hotmart: vendido no combo Um Passeio pela História e no Acesso Completo.
os-francos-e-o-nascimento-da-cristandade;Os Francos e o Nascimento da Cristandade;;;;ativo;;;;Sem produto avulso na Hotmart: vendido no combo Um Passeio pela História e no Acesso Completo.
renascimento;Renascimento;;;;ativo;;;;Sem produto avulso na Hotmart: vendido no combo Um Passeio pela História e no Acesso Completo.
revolucao-francesa;Revolução Francesa;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/W95450185L;ativo;;;;
revolucoes-burguesas;Revoluções Burguesas;;;;ativo;;;;Sem produto avulso na Hotmart: vendido no combo Um Passeio pela História e no Acesso Completo.
roma;Roma;;;;ativo;;;;Sem produto avulso na Hotmart: vendido no combo Um Passeio pela História e no Acesso Completo.
brevissima-introducao-ao-direito;Brevíssima Introdução ao Direito;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/R95458975Q;ativo;;;;
filosofia-do-direito;Filosofia do Direito;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/Y95459480C;ativo;;;;
historia-direito-romano;História do Direito Romano;199,40;à vista ou parcelado no cartão;https://pay.hotmart.com/X95459127E;ativo;;;;"Na Hotmart: ""Direito Romano""."
homeschooling-aspectos-juridicos;Homeschooling: Aspectos Jurídicos para Famílias Educadoras;249,50;à vista ou parcelado no cartão;https://pay.hotmart.com/G78417382N;ativo;O Legal do Homeschooling;;;Há também uma oferta sem nome de R$ 190,00.
