curso;tipo;titulo;link;observacao
filosofia-do-direito;apresentacao;Filosofia do Direito - Intro;https://www.youtube.com/watch?v=zcZYQiMFT_s;
filosofia-do-direito;aula-gratis;Filosofia do Direito - Aula Grátis;https://www.youtube.com/watch?v=Mo1G3FMCKIo;
grandes-epopeias-da-antiguidade;apresentacao;As Grandes Epopeias Gregas - Intro;https://www.youtube.com/watch?v=aIPcTwAi7A4;
grandes-epopeias-da-antiguidade;aula-gratis;As Grandes Epopeias Antigas - Aula Grátis;https://www.youtube.com/watch?v=WB-Qhst37Pw;
harmonia-familiar;apresentacao;Educação Infantil e Harmonia Familiar - Intro;https://www.youtube.com/watch?v=1xgX7iD33iA;
harmonia-familiar;aula-gratis;Harmonia Familiar - Aula Grátis;https://www.youtube.com/watch?v=iyVdv-G4ORE;
historia-das-mentalidades;apresentacao;História das Mentalidades - Intro;https://www.youtube.com/watch?v=aUysSSnBOeA;
historia-das-mentalidades;aula-gratis;História das Mentalidades - Aula Grátis;https://www.youtube.com/watch?v=BFxb-_MQqpI;
historia-direito-romano;apresentacao;História do Direito Romano - Intro;https://www.youtube.com/watch?v=BnJloPWt5KQ;
historia-direito-romano;aula-gratis;História do Direito Romano - Aula Grátis;https://www.youtube.com/watch?v=n3Z4XNlOnCk;
historia-do-pensamento-etico;apresentacao;Historia do Pensamento Etico - Intro;https://www.youtube.com/watch?v=VEj3K5TpWXA;
historia-do-pensamento-etico;aula-gratis;História do Pensamento Ético - Aula Grátis;https://www.youtube.com/watch?v=Ps4UxwfaJIc;
homeschooling-aspectos-juridicos;apresentacao;O Legal do Homeschooling - Intro;https://www.youtube.com/watch?v=3oOGKTq3pZ4;
imaginario-crianca-moderna;apresentacao;A Formação do Imaginário Infantil - Intro;https://www.youtube.com/watch?v=QpvQGI_9IAE;No site antigo: A Formação do Imaginário Infantil
imaginario-crianca-moderna;aula-gratis;A Formação do Imaginário Infantil - Aula Grátis;https://www.youtube.com/watch?v=EtF2hR5FF9I;No site antigo: A Formação do Imaginário Infantil
literatura-brasileira-e-de-lingua-portuguesa;apresentacao;Literatura Brasileira e de Língua Portuguesa - Apresentação;https://www.youtube.com/watch?v=rDe_4Oeb54M;Título no YouTube: Fuvest 2024/25 - Intro
literatura-brasileira-e-de-lingua-portuguesa;aula-gratis;Quincas Borba - Aula grátis;https://www.youtube.com/watch?v=uzb3k9Pthh8;Título no YouTube: Quincas Borba - Fuvest 2025
musicas-contos-e-lendas-de-natal;apresentacao;Histórias de Natal - Intro;https://www.youtube.com/watch?v=IwkYhZ5Kci8;No site antigo: Histórias de Natal
musicas-contos-e-lendas-de-natal;aula-gratis;Histórias de Natal - Aula Grátis;https://www.youtube.com/watch?v=MIw9O7kQ8x4;No site antigo: Histórias de Natal
o-fim-da-educacao;apresentacao;O Fim da Educacao - Intro;https://www.youtube.com/watch?v=V1GkgY5D7ng;
o-fim-da-educacao;aula-gratis;O Fim da Educação - Aula Grátis;https://www.youtube.com/watch?v=IdNj24CT3qc;
o-que-e-filosofar;apresentacao;O que é Filosofar - Intro;https://www.youtube.com/watch?v=EKWLsPyFZdE;
o-que-e-filosofar;aula-gratis;O Que é Filosofar - Aula Grátis;https://www.youtube.com/watch?v=ZaC8emltJXk;
patristica-agostinho-dionisio;apresentacao;Neoplatonismo e Patrística - Intro;https://www.youtube.com/watch?v=NFXQ1seRK6g;
revolucao-francesa;apresentacao;Revolução Francesa - Intro;https://www.youtube.com/watch?v=OvoEeP7Hv20;
revolucao-francesa;aula-gratis;Revolução Francesa - Aula Grátis;https://www.youtube.com/watch?v=UFeQBgq4lpI;
teatro-grego-tragedia;apresentacao;Teatro Grego - Intro;https://www.youtube.com/watch?v=OxwLBqXP5iM;
teatro-grego-tragedia;aula-gratis;Teatro Grego - Aula Grátis;https://www.youtube.com/watch?v=0Lgv-0NTxj8;
tecnica-ciencia-religiao;apresentacao;Técnica Ciência e Religião - Intro;https://www.youtube.com/watch?v=BnSOg1wGTzA;
virtudes-fundamentais;apresentacao;As Virtudes Fundamentais - Intro;https://www.youtube.com/watch?v=Br_3-gEfUGg;
virtudes-fundamentais;aula-gratis;As Virtudes Fundamentais - Aula Grátis;https://www.youtube.com/watch?v=6clMNv2uw9M;
virtudes-fundamentais;aula-gratis;As Virtudes Fundamentais - Aula Grátis;https://www.youtube.com/watch?v=WOpkGxQKRV4;
